Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Change,Status
2020-06-01,60.66927394081516,61.267271902672064,60.56960761383901,61.03169631958008,525200,0.0,0.0,0.0,0.36242237876491856,Gain
2020-06-02,61.32161623078632,61.59343466939455,61.14040854680086,61.57530975341797,836000,0.0,0.0,0.0,0.2536935226316501,Gain
2020-06-03,62.282030863637075,63.305874348864805,62.21860748148732,63.15184020996094,548700,0.0,0.0,0.0,0.8698093463238621,Gain
2020-06-04,62.77131102517482,63.31494109875011,62.59915885203392,63.242462158203125,474900,0.0,0.0,0.0,0.47115113302830736,Gain
2020-06-05,64.90957806347522,65.77938733267305,64.7374259360634,65.181396484375,554800,0.0,0.0,0.0,0.2718184208997769,Gain
2020-06-08,65.45322029035104,66.08746108740523,65.45322029035104,66.00591278076172,843100,0.0,0.0,0.0,0.5526924904106778,Gain
2020-06-09,65.36260421246445,65.36260421246445,64.68306507226336,64.79179382324219,593400,0.0,0.0,0.0,-0.5708103892222596,Loss
2020-06-10,64.71931105748418,64.79179689490648,63.704530071461605,63.713592529296875,370200,0.0,0.0,0.0,-1.0057185281873018,Loss
2020-06-11,61.53002282718639,62.08270844077371,59.77227892985944,59.98066711425781,810900,0.0,0.0,0.0,-1.5493557129285804,Loss
2020-06-12,61.64780660169336,61.847139237254034,59.60918868594675,60.82329559326172,749000,0.0,0.0,0.0,-0.8245110084316423,Loss
2020-06-15,59.355493764056845,61.783714435928204,59.03837681136735,61.39411163330078,494500,0.0,0.0,0.0,2.038617869243936,Gain
2020-06-16,63.369303934963845,63.44178286978064,61.702164006821626,62.680702209472656,622100,0.0,0.0,0.0,-0.6886017254911891,Loss
2020-06-17,62.86190900425227,62.86190900425227,62.08270343706182,62.21861267089844,354000,0.0,0.0,0.0,-0.6432963333538311,Loss
2020-06-18,61.79278185944637,62.517626672880574,61.7021779859252,62.118961334228516,491800,0.0,0.0,0.0,0.32617947478214404,Gain
2020-06-19,63.20622877593403,63.260589717710786,61.357880716567074,61.7293586730957,490800,0.0,0.0,0.0,-1.4768701028383262,Loss
2020-06-22,61.439415281991856,61.84714303777491,60.94109057509929,61.702171325683594,629500,0.0,0.0,0.0,0.2627560436917378,Gain
2020-06-23,62.31828906441945,62.42701785160685,61.6659301665589,61.74747848510742,458100,0.0,0.0,0.0,-0.570810579312031,Loss
2020-06-24,61.185034073949716,61.185034073949716,59.51684694929747,59.99086380004883,885800,0.413,0.0,0.0,-1.1941702739008875,Loss
2020-06-25,59.77207152935994,60.51044627751011,59.471249611677706,60.44663619995117,460300,0.0,0.0,0.0,0.6745646705912307,Gain
2020-06-26,60.154946913835346,60.48311509546422,59.16133160902133,59.425689697265625,571200,0.0,0.0,0.0,-0.7292572165697209,Loss
2020-06-29,59.90881365246501,60.738344719655885,59.61710942650661,60.71099853515625,736700,0.0,0.0,0.0,0.8021848826912432,Gain
2020-06-30,60.57427478181142,61.6590533850808,60.510464684841395,61.39469528198242,641000,0.0,0.0,0.0,0.8204205001710037,Gain
2020-07-01,61.586117873130576,61.72285576519334,60.948016983208454,61.221492767333984,455700,0.0,0.0,0.0,-0.36462510579659124,Loss
2020-07-02,61.95075446531395,62.52504530825241,61.56789390335498,61.70463180541992,372600,0.0,0.0,0.0,-0.24612265989402715,Loss
2020-07-06,62.607091730293625,62.743829634321806,62.060147068959594,62.40654373168945,596500,0.0,0.0,0.0,-0.20054799860417205,Loss
2020-07-07,61.868712977245885,62.11483562552493,61.61346565987355,61.777549743652344,506200,0.0,0.0,0.0,-0.09116323359354084,Loss
2020-07-08,61.81401109202015,62.060140684907566,61.30353038792475,61.768436431884766,949900,0.0,0.0,0.0,-0.04557466013538658,Loss
2020-07-09,61.67728179286624,61.741091882570764,60.35549142787503,60.76570510864258,561700,0.0,0.0,0.0,-0.911576684223661,Loss
2020-07-10,60.747464058450305,61.87781709494201,60.72923558655516,61.859588623046875,573100,0.0,0.0,0.0,1.11212456459657,Gain
2020-07-13,62.069256181918135,62.85321272577849,61.77755190662906,61.84136199951172,756700,0.0,0.0,0.0,-0.22789418240641623,Loss
2020-07-14,61.722868624778776,63.10846935268845,61.60436613618342,63.03554153442383,493700,0.0,0.0,0.0,1.3126729096450518,Gain
2020-07-15,64.0109192381866,64.32085198879412,63.60070553589139,64.08384704589844,448100,0.0,0.0,0.0,0.07292780771183516,Gain
2020-07-16,63.88329419309918,64.47582041482775,63.80124867696913,64.13853454589844,487800,0.0,0.0,0.0,0.2552403527992553,Gain
2020-07-17,64.39377318332464,64.56697497015796,64.10206893721356,64.33908081054688,285300,0.0,0.0,0.0,-0.054692372777765286,Loss
2020-07-20,64.11119149083771,64.22969395906148,63.55512914302602,63.65540313720703,310900,0.0,0.0,0.0,-0.4557883536306804,Loss
2020-07-21,64.02003037804693,64.68547742943571,63.919756391435826,64.33908081054688,352400,0.0,0.0,0.0,0.31905043249994947,Gain
2020-07-22,64.24791365701051,64.96805295921851,64.21144976307471,64.91336059570312,373500,0.0,0.0,0.0,0.665446938692611,Gain
