Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-06-01,60.66927394081516,61.267271902672064,60.56960761383901,61.03169631958008,525200.0,0.0,0.0,0.0
2020-06-02,61.321623828747335,61.593442301034806,61.14041612230962,61.5753173828125,836000.0,0.0,0.0,0.0
2020-06-03,62.282034625793365,63.30587817286653,62.21861123981251,63.1518440246582,548700.0,0.0,0.0,0.0
2020-06-04,62.77131102517482,63.31494109875011,62.59915885203392,63.242462158203125,474900.0,0.0,0.0,0.0
2020-06-05,64.90959325863234,65.77940273145016,64.73744109092017,65.18141174316406,554800.0,0.0,0.0,0.0
2020-06-08,65.45321272484031,66.08745344858481,65.45321272484031,66.00590515136719,843100.0,0.0,0.0,0.0
2020-06-09,65.36261190907332,65.36261190907332,64.6830726888548,64.79180145263672,593400.0,0.0,0.0,0.0
2020-06-10,64.7193149323964,64.79180077415863,63.70453388561627,63.71359634399414,370200.0,0.0,0.0,0.0
2020-06-11,61.53002282718639,62.08270844077371,59.77227892985944,59.98066711425781,810900.0,0.0,0.0,0.0
2020-06-12,61.64781433451076,61.84714699507481,59.60919616304929,60.82330322265625,749000.0,0.0,0.0,0.0
2020-06-15,59.35549007602825,61.78371059702313,59.038373143042676,61.394107818603516,494500.0,0.0,0.0,0.0
2020-06-16,63.36930779156886,63.441786730796665,61.702167761965846,62.68070602416992,622100.0,0.0,0.0,0.0
2020-06-17,62.86189358769814,62.86189358769814,62.08268821160378,62.218597412109375,354000.0,0.0,0.0,0.0
2020-06-18,61.79275909144598,62.517603637805834,61.702155251308476,62.11893844604492,491800.0,0.0,0.0,0.0
2020-06-19,63.20621705804322,63.260577989741925,61.35786934134409,61.729347229003906,490800.0,0.0,0.0,0.0
2020-06-22,61.4394190804444,61.847146861434965,60.94109434274323,61.70217514038086,629500.0,0.0,0.0,0.0
2020-06-23,62.31829291438083,62.42702170828537,61.66593397621819,61.74748229980469,458100.0,0.0,0.0,0.0
2020-06-24,61.185030183317586,61.185030183317586,59.51684316474197,59.99085998535156,885800.0,0.413,0.0,0.0
2020-06-25,59.772101706371885,60.51047682730391,59.47127963681426,60.4466667175293,460300.0,0.0,0.0,0.0
2020-06-26,60.154935329304514,60.48310344773535,59.16132021583914,59.42567825317383,571200.0,0.0,0.0,0.0
2020-06-29,59.90882118105103,60.73835235248695,59.617116918434924,60.71100616455078,736700.0,0.0,0.0,0.0
2020-06-30,60.57428230925395,61.659061047326574,60.51047220435438,61.39470291137695,641000.0,0.0,0.0,0.0
2020-07-01,61.586117873130576,61.72285576519334,60.948016983208454,61.221492767333984,455700.0,0.0,0.0,0.0
2020-07-02,61.95076978496609,62.52506076991954,61.567909128330456,61.704647064208984,372600.0,0.0,0.0,0.0
